Grapheme	Frequency	Codepoint	UnicodeName
ท่	653	U+0E17, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER MAI EK
ท้	383	U+0E17, U+0E49	THAI CHARACTER THO THAHAN, THAI CHARACTER MAI THO
ท์	19	U+0E17, U+0E4C	THAI CHARACTER THO THAHAN, THAI CHARACTER THANTHAKHAT
ทั	219	U+0E17, U+0E31	THAI CHARACTER THO THAHAN, THAI CHARACTER MAI HAN-AKAT
ทั่	113	U+0E17, U+0E31, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI EK
ทั้	909	U+0E17, U+0E31, U+0E49	THAI CHARACTER THO THAHAN, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
ทำ	2644	U+0E17, U+0E33	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA AM
ทิ	188	U+0E17, U+0E34	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA I
ทิ่	2	U+0E17, U+0E34, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA I, THAI CHARACTER MAI EK
ทิ้	134	U+0E17, U+0E34, U+0E49	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA I, THAI CHARACTER MAI THO
ที	222	U+0E17, U+0E35	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA II
ที่	8525	U+0E17, U+0E35, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
ทึ	6	U+0E17, U+0E36	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA UE
ทึ่	12	U+0E17, U+0E36, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA UE, THAI CHARACTER MAI EK
ทึ้	2	U+0E17, U+0E36, U+0E49	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA UE, THAI CHARACTER MAI THO
ทื	8	U+0E17, U+0E37	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA UEE
ทื่	1	U+0E17, U+0E37, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
ทุ	1315	U+0E17, U+0E38	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA U
ทุ่	42	U+0E17, U+0E38, U+0E48	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA U, THAI CHARACTER MAI EK
ทุ้	1	U+0E17, U+0E38, U+0E49	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA U, THAI CHARACTER MAI THO
ทู	238	U+0E17, U+0E39	THAI CHARACTER THO THAHAN, THAI CHARACTER SARA UU
ธ	631	U+0E18	THAI CHARACTER THO THONG
ธ่	3	U+0E18, U+0E48	THAI CHARACTER THO THONG, THAI CHARACTER MAI EK
ธ์	26	U+0E18, U+0E4C	THAI CHARACTER THO THONG, THAI CHARACTER THANTHAKHAT
ธั	8	U+0E18, U+0E31	THAI CHARACTER THO THONG, THAI CHARACTER MAI HAN-AKAT
ธิ	276	U+0E18, U+0E34	THAI CHARACTER THO THONG, THAI CHARACTER SARA I
